X,Y,Z
-2.830400000000000027e+00,3.799080000000000013e+00,-7.076000000000000345e-02
-2.285791999999999824e+00,3.890823999999999838e+00,-4.021119999999999695e-01
-1.785592000000000068e+00,4.102616000000000263e+00,-6.710000000000000409e-01
-1.148751999999999995e+00,3.756136000000000141e+00,5.255760000000000431e-01
-7.832399999999999363e-01,4.942464000000000190e+00,1.536224000000000034e+00
-7.481039999999999912e-01,5.241119999999999557e+00,-4.587199999999999611e-02
-1.411295999999999884e+00,4.453488000000000113e+00,1.488400000000000001e-01
-1.874407999999999852e+00,4.002087999999999646e+00,-3.518479999999999941e-01
-1.124840000000000062e+00,3.846416000000000057e+00,-8.271600000000000064e-01
-1.912959999999999938e-01,4.247063999999999950e+00,9.857599999999999696e-02
1.429840000000000000e-01,5.214768000000000292e+00,1.093607999999999913e+00
-6.832000000000000295e-01,5.657383999999999524e+00,-4.118720000000000159e-01
-8.696159999999999446e-01,5.078127999999999531e+00,-6.558720000000000105e-01
-7.705520000000000147e-01,4.174351999999999840e+00,-5.646160000000000068e-01
6.724639999999999507e-01,3.560448000000000057e+00,-4.489599999999999702e-01
7.207759999999999723e-01,4.272439999999999571e+00,1.683600000000000096e-01
1.094584000000000001e+00,4.823879999999999946e+00,1.343463999999999992e+00
1.083847999999999923e+00,4.374431999999999654e+00,-3.113440000000000096e-01
6.060959999999999681e-01,4.327583999999999875e+00,-5.807200000000000140e-01
9.828319999999999279e-01,4.300743999999999900e+00,5.895040000000000280e-01
1.722639999999999949e+00,3.761016000000000137e+00,-1.854399999999999799e-02
1.415688000000000057e+00,3.568255999999999872e+00,-3.035359999999999725e-01
1.953463999999999867e+00,3.424296000000000006e+00,7.066240000000000299e-01
2.096935999999999911e+00,3.329136000000000095e+00,-2.981679999999999886e-01
2.466352000000000100e+00,3.364272000000000151e+00,2.923120000000000163e-01
2.635199999999999765e+00,3.056831999999999994e+00,3.279360000000000053e-01
2.276031999999999833e+00,2.965575999999999990e+00,-6.251280000000000170e-01
2.445856000000000030e+00,2.921656000000000031e+00,3.367200000000000193e-01
2.493679999999999897e+00,2.770863999999999994e+00,4.255359999999999698e-01
2.741095999999999755e+00,2.324831999999999788e+00,-2.581519999999999926e-01
3.228120000000000100e+00,1.967616000000000032e+00,1.917839999999999823e-01
2.745975999999999750e+00,1.877335999999999894e+00,-1.854399999999999799e-02
2.489288000000000167e+00,1.853423999999999960e+00,-4.343199999999999839e-02
2.996319999999999872e+00,1.615280000000000049e+00,2.747439999999999882e-01
3.101728000000000041e+00,1.383480000000000043e+00,-1.083360000000000017e-01
3.191031999999999869e+00,1.133623999999999965e+00,-6.246399999999999869e-02
3.105631999999999948e+00,8.735199999999999632e-01,1.620159999999999934e-01
2.819176000000000126e+00,8.613199999999999745e-01,8.491200000000000137e-02
2.708887999999999963e+00,7.783599999999999408e-01,8.881599999999999218e-02
2.902136000000000049e+00,5.421679999999999833e-01,2.171599999999999919e-01
2.894327999999999790e+00,5.714479999999999560e-01,2.078879999999999895e-01
2.723040000000000127e+00,2.898720000000000185e-01,2.952400000000000024e-01
2.594695999999999891e+00,1.219999999999999973e-01,1.210239999999999927e-01
2.423407999999999785e+00,1.512799999999999909e-02,1.654319999999999957e-01
2.708400000000000141e+00,-2.610799999999999788e-01,2.561999999999999833e-01
2.651791999999999927e+00,-3.738079999999999736e-01,2.181359999999999966e-01
2.815760000000000041e+00,-7.871439999999999548e-01,3.982080000000000064e-01
2.961183999999999816e+00,-1.412271999999999972e+00,-4.879999999999999789e-03
1.569407999999999914e+00,-1.957856000000000041e+00,5.953599999999999864e-02
2.210640000000000160e+00,-2.358016000000000112e+00,-1.103367999999999904e+00
1.146800000000000042e+00,-1.427400000000000002e+00,-1.160951999999999984e+00
2.637639999999999763e+00,-1.533295999999999992e+00,-9.228079999999999616e-01
1.843663999999999970e+00,-1.740696000000000021e+00,4.889759999999999662e-01
2.035935999999999968e+00,-1.803647999999999918e+00,7.515199999999999658e-01
1.364447999999999883e+00,-1.392263999999999946e+00,4.743359999999999799e-01
1.067744000000000026e+00,-1.319064000000000014e+00,5.563200000000000367e-01
1.183888000000000051e+00,-1.485471999999999904e+00,1.600639999999999841e-01
7.280959999999999654e-01,-1.805599999999999872e+00,1.585999999999999910e-01
1.176080000000000014e+00,-2.336056000000000132e+00,-1.561599999999999933e-01
6.900319999999999787e-01,-2.331663999999999959e+00,-1.512799999999999978e-01
1.317599999999999882e-01,-1.957367999999999997e+00,-6.212239999999999984e-01
-1.029680000000000040e-01,-1.908079999999999998e+00,-5.524160000000000181e-01
1.263920000000000043e-01,-2.047159999999999869e+00,1.512799999999999909e-02
1.971519999999999939e-01,-1.887583999999999929e+00,3.620959999999999734e-01
-5.958479999999999333e-01,-1.513287999999999967e+00,3.489200000000000079e-01
-4.850720000000000032e-01,-1.607960000000000056e+00,3.459919999999999662e-01
-8.325279999999999347e-01,-1.453751999999999933e+00,1.742160000000000097e-01
-1.008207999999999993e+00,-1.442039999999999988e+00,-7.612800000000000122e-02
-8.344799999999999995e-01,-1.519631999999999872e+00,1.776319999999999844e-01
-1.250256000000000034e+00,-1.371280000000000054e+00,1.507920000000000094e-01
-1.133135999999999921e+00,-1.491816000000000031e+00,-1.058960000000000040e-01
-1.501087999999999978e+00,-1.432768000000000042e+00,2.049600000000000033e-02
-1.529879999999999907e+00,-1.397631999999999985e+00,-1.688479999999999981e-01
-2.083759999999999835e+00,-1.155583999999999945e+00,-1.434719999999999884e-01
-2.134511999999999965e+00,-9.637999999999999901e-01,-3.015840000000000187e-01
-1.929551999999999934e+00,-9.559919999999999529e-01,-3.054879999999999818e-01
-2.021295999999999982e+00,-8.066639999999999366e-01,4.733599999999999614e-02
-2.140855999999999870e+00,-7.188240000000000185e-01,2.976799999999999932e-02
-2.283840000000000092e+00,-6.246399999999999730e-01,-1.761679999999999913e-01
-2.259927999999999937e+00,-4.240720000000000045e-01,-2.732799999999999813e-02
